"nlrc" "nsrc" "wn"
796.429784827181 840.193231461997 845.74234251426
796.87720065795 809.038404866643 849.034629537516
777.707133199543 811.821947708167 879.889480483578
745.582029880668 812.234822390925 722.924256212314
709.938991487535 840.190529549663 765.293759082033
787.589315064441 762.703144652362 809.349866068945
798.130241998924 759.690079891606 854.830098129733
772.285102955764 749.356660526435 790.372905266091
732.697228931782 779.128606802046 801.25358284399
779.569643278413 800.823924133646 857.898936399436
744.987464097868 806.32892598688 817.382198986147
795.183619042658 771.3240560691 829.158544508746
842.445228989559 774.589866420483 789.892885151522
816.685511534357 802.345956538055 815.334815858397
801.453758773958 773.360975370156 844.418427643361
827.347905773436 735.639839775565 807.259225239658
773.151338060744 744.9511183411 784.709782910957
835.448144118801 750.185953742921 801.431105846446
767.802673748394 775.628377236214 804.113301512547
818.880624573089 796.146618685954 794.329516615486
843.575183623206 830.641036403166 840.199028569154
861.003665541291 813.183740377892 778.240391580142
854.839067867769 813.009014167242 782.345166711649
834.521149291408 774.371749897978 807.772822829385
824.333891032087 793.830029498768 794.072781032484
790.708666185938 784.461598090273 756.484013095681
812.332391823883 807.746351831975 830.877291644749
877.963402076575 851.843227678851 742.784903061575
865.341464415617 788.200724435805 811.181590872364
851.892086635616 790.448560826314 792.878098396038
838.579036678448 809.372765076049 849.317861477348
855.028831009265 827.426614876146 738.848002227167
824.628308603959 801.133938461047 836.895392973727
759.164166384477 778.213933759551 835.151518203441
834.647721459455 817.713504007546 881.194117097196
808.38691705981 835.261578490066 845.048368157386
801.557569573305 832.865006966669 834.080250684647
852.279800311644 858.739565929253 857.399013457332
850.650193899707 833.716000794789 768.061541139302
835.726577295468 806.93789019876 825.423518818527
843.090016274109 750.115687967624 882.717067848571
848.287194390741 796.142234074064 728.492690734555
785.161429262172 812.398719235982 768.510244161604
790.651403516335 806.677140355222 763.009940290255
822.633019844349 896 804.476666946518
835.655597613052 824.872262461624 776.729900517953
842.760077129776 815.967148047721 839.636008073017
832.255745712657 853.814844760634 813.768114389043
793.819614127017 854.296997775563 790.375664025198
826.744411018958 806.224408543851 855.026295171805
804.399155770014 845.13237293194 820.584231407779
771.682864027228 867.593651000953 840.977935883998
790.017551146627 877.561608526042 845.121666286306
775.555798412856 821.248177472048 717.665766545498
822.325051077164 851.951251405507 818.252840866474
833.166025962007 802.699101289867 765.686655946328
837.844644218109 804.375177197666 811.91381061261
837.418375250528 847.52276141088 744.699069725522
786.035597493336 814.6901364633 844.061714621729
773.281438818208 794.915532271129 856.023356923805
833.480956259699 724.635499499873 795.112031735298
826.621747985522 784.278433965654 854.540780527171
890.490233239145 776.705053960217 776.262348137784
807.272471544326 829.048028758102 861.032695179857
808.19907786644 766.226959582714 803.041691742703
823.299037460045 780.803225099458 789.391758414487
799.897952702442 781.167415366256 799.559505738584
792.553192611654 790.296056975685 833.353147582984
816.184953350474 794.939484742959 848.06019532625
739.501971868379 814.143951255428 842.69765516167
802.079600190081 811.68236431535 848.346073780833
821.894695154375 768.925265168 798.626716477935
847.162026324343 764.588018538693 714.434493526341
864.542461375149 787.662778014682 848.364758760171
824.970549018126 733.954896847793 844.529422705525
793.007431863254 785.627558127738 759.360633543772
768.078889563881 782.121983747053 818.67675824208
812.621288603189 791.041131628315 827.857893627253
791.722989395065 704 800.355186019692
777.046914608685 793.861036128606 822.787506545613
814.496344039113 760.408163890005 822.891844744002
810.106495515117 793.985525776849 775.532542186692
791.6319959937 763.801979049948 772.671309593321
802.482795088783 735.809654241301 775.607929958893
769.508973059345 762.73485259999 766.357741039888
839.080955562456 757.401677012455 804.328175299556
853.603258316794 776.161869660729 800.68550198897
808.990174571802 772.329738042356 803.065193117729
836.439380545924 830.705325383863 779.765828963746
838.09672243382 778.027759057781 820.415590670338
832.920779348551 806.398086584314 798.895041885343
817.220664272306 846.230709096975 798.221561403498
846.642405700148 808.893432533862 802.696164910987
836.201151873196 832.651567827616 816.699862985251
798.872185305857 821.326963036458 785.428026424549
806.854775757778 804.532294846624 820.51864141343
830.504485558862 812.106178554397 785.614151520882
796.307495373451 767.267480276789 775.796833737776
775.526974211923 738.739732052923 810.100562881518
810.208212687072 758.424797430534 859.101451381454
796.252279714426 774.553411544506 767.501646262497
827.72561324746 811.006929393008 894.740274611273
809.089620070476 864.60612198948 786.465850925294
789.061322190674 793.226994652805 847.231321452635
724.243517189587 824.791626121401 850.129617916211
761.806640817113 833.603954163417 837.581802654996
723.69227311808 872.028314823421 744.139278353024
719.155309523519 836.163467002035 763.253415412387
724.901007269579 845.747791594768 787.967045199847
704 782.301581358914 813.306101020708
743.118918798014 804.313265717295 818.139953752284
779.64585003254 827.239885526085 764.499892909279
794.433893821159 807.028004359967 827.736580410098
818.61534905231 780.11156659883 742.409506142393
845.916761415622 747.654922663703 838.791384587994
844.950445278658 755.088567658802 838.813478274109
864.945834730019 799.411884374298 723.873124834985
778.503089559731 781.118986527258 785.688743537666
813.804180867586 835.533005603395 865.74929891887
790.103583688438 776.705723400828 793.611980565357
806.567286453236 798.467006109128 772.160036855286
809.586552536814 739.928620110714 713.698342619872
831.885598932408 731.881519965322 819.704629666832
869.244602220678 706.501597098712 837.143475687649
842.326011589887 765.569484998705 850.895470459998
826.929172567742 793.158011773113 829.156365231289
821.376771337595 792.408816300364 748.913052232955
813.377984951658 740.408558564217 832.777691165949
863.293690541721 814.453934896273 819.314260693388
790.504529486375 808.394366437146 768.569660320063
782.30268030771 797.622267213795 806.020791342517
762.477788809212 812.79100036512 854.880636470944
740.080220731092 803.893641056747 750.702080201282
761.242511228984 779.002960100372 704
793.300092607406 816.212229840229 771.336462432064
804.942637127069 770.058367067736 826.855706127496
828.790308526431 786.938192428566 730.190561384391
775.178303440558 790.790146354042 777.45604671624
829.924124905293 760.409832404859 790.837865142624
836.021639330013 817.379464091755 861.73105946869
859.701430454769 856.57770997479 775.949545738774
860.55180244163 803.35296158527 777.582209642671
815.956755001852 792.374416165059 813.167952008109
843.767900293385 777.810785577789 818.898343639768
808.273461445 805.473751301917 794.339667772247
843.024616218099 777.505342663725 748.66914241368
792.757899348145 753.323977112588 818.484239598226
849.049196141529 811.367841546369 824.041857333297
808.761026346383 781.058034612075 808.076487347779
813.586352243721 794.232356556466 884.848432154987
785.094105799448 838.345461438128 775.540550725354
789.205664733289 806.924617451979 841.408027893629
817.375302694841 816.764285257372 813.982684349887
831.614481994975 820.136767238074 846.044479158799
808.004753612475 825.360305799886 775.460041042244
835.702619376068 875.212356022452 825.81199030149
838.779289718394 812.138743503752 834.472595965953
802.307871274727 837.403854724595 809.08464218588
838.339883742071 809.447022471326 812.041044145193
821.155945418796 777.960253487221 839.384744562964
818.349939544384 762.032437037127 800.504909002912
834.529701001113 841.053705247444 779.032377784244
847.75013736559 796.494551403104 824.590617210478
862.290671471666 799.120604817667 813.9864756745
877.794045214331 764.258041069225 836.9152095466
853.719160563389 844.503448976481 814.26102748514
813.933876359194 809.158902786017 803.30043134708
827.009774687148 808.138143043906 814.71522443684
819.421882154281 789.552749939233 806.743063282102
879.840869627563 797.522141673377 803.323299657155
870.707710553099 765.19189944306 766.525115343145
794.719909261851 833.50720341942 810.193741587111
804.195424878191 793.463319555272 776.442170637142
804.116087073577 742.63576585474 793.35149261126
801.63877586982 789.153880433627 856.24733786833
750.964174986521 757.569962797425 824.498086233242
825.401173365458 808.361051124777 746.277473415767
822.856546105001 758.451160943978 827.374590101569
832.343057037319 740.289777513219 800.780005588543
806.085786369828 794.113874901139 759.427452324129
826.494556062059 761.567305081396 800.073433497393
798.239609450114 833.094499830643 807.658966533979
790.587836763355 763.366160472116 778.845108816184
820.042146485501 778.02527568759 833.060278483869
816.319665797236 817.967678609806 757.989736543366
896 859.395279683721 896
834.633480062457 849.064197799334 870.05155175568
847.295822670429 838.226583680408 816.945503543931
803.095291256616 875.976622629239 772.200358858976
774.963915167818 828.576120041067 865.68307232002
828.956833577476 810.464324864642 809.14626223124
834.334432979076 851.640707313237 865.40470564749
