"nlrc" "nsrc" "wn"
850.796114410947 708.286865117468 721.259258691454
819.13209489839 786.846285005295 773.768870667254
788.123493718497 846.713355366717 831.287509365935
787.11272721434 811.76929431469 821.490770198742
794.948210832429 868.904232591437 800.327416016101
823.197443450918 818.94607118085 866.113794326297
758.121136313085 809.261037364895 755.604699519242
826.325971672363 878.053091806242 829.951387914014
794.011682445134 817.936541208706 830.706519143057
769.345957124383 704 836.070072385486
804.089684813792 730.136205700635 739.978278561825
790.010857364592 735.805631440824 770.230779642987
786.462969592767 782.966581012242 797.189738956162
855.292828846709 790.083453576062 767.627620891384
884.678544014091 831.204072410149 769.447571982254
873.523515411738 838.008634067924 836.680046924717
858.730306006057 765.361830611021 789.595016228751
794.21866128702 755.280799686504 840.542574757773
857.023454304993 721.025585722214 809.108122689742
857.30505598572 740.088250379248 765.893766175984
777.856765520611 768.597134386645 786.170250022486
790.628089496017 750.279587570395 760.952311869468
753.726998448431 738.395772129307 896
794.925369502044 773.479155104126 774.370520178911
775.841867825488 782.247926526833 812.840673339514
791.160963381553 788.489509646487 807.751256922266
801.860448773134 767.409133018401 848.48293208527
786.053668771936 831.224529337774 816.497399568084
798.956195924059 837.208436011289 807.602099490484
804.2448105518 851.626888134499 814.026124589909
773.62683017398 803.144034535155 763.437098676256
743.53959635799 786.559821509709 793.481293873679
806.141678459468 718.860129721461 827.938597059019
778.115900083916 754.860945341361 774.379620976947
800.372853570571 745.024718954527 836.865490126294
809.827625028836 711.409490516913 819.977976142841
778.152879541889 771.917846465746 835.014276692744
753.46216948431 752.13893198932 793.718744545505
754.360528847091 793.084372944632 805.251053210351
738.735094523597 768.169261412515 833.015181221274
746.536293346111 797.461265018183 776.957566342468
741.729914408882 825.396746415866 743.413997937371
754.008649348196 863.776550803618 797.090418205277
728.706518224105 780.6227899922 822.310584856262
756.716537804133 791.900555131015 743.833489080699
828.893219421032 758.49509013786 773.872656947861
794.26013573375 751.051197037563 783.839257867157
844.760500458511 783.323688760928 805.978594839315
778.733147615732 871.724168306511 825.911937594779
