"nlrc" "nsrc"
753.418814405954 795.016549564206
777.044955965216 792.677848645587
788.853915079829 805.77520888256
763.632975271832 779.249879012074
762.957984054243 799.907318993217
765.959010075689 804.702081365436
770.132233295171 773.011126334502
785.94590866979 779.691283974842
792.314687511103 757.216886390849
812.48673368406 766.535656417889
783.857109303909 773.682933845914
801.912532893119 767.636498257582
788.674405659442 768.574782939289
813.462403741232 774.09809801821
794.946233057888 766.470184433035
791.801225172628 797.029224858006
799.96110205711 815.49079650098
793.935376649223 814.559602413796
782.505891000022 778.423908564861
760.97369214051 761.014608311309
781.694995503597 752.76606761972
809.60356716497 767.808841044997
807.221626094238 785.279858042932
776.420783294293 764.63193534673
771.061062707818 798.788560272314
764.857659629365 803.48726717355
795.423398476151 791.338662431549
797.121463036266 788.788355780612
778.849959459328 789.289586862343
786.384616413707 765.856451249856
795.91467345527 759.043956823116
805.58343466333 793.010435293378
823.422966835999 784.688999498556
817.722296509811 785.428115899433
811.599915402039 799.244209985089
798.693246131025 774.743103028303
812.46623372481 801.981757408244
822.048874450939 786.663501148692
830.907883585976 804.190268698884
812.706296497235 812.966892969789
796.375751131357 768.819137012724
830.393618700062 801.664181370472
817.150715632698 764.980842900503
814.363570467246 760.496561976264
801.505234876006 777.520964739856
783.603891569745 792.126874016192
812.504034802487 798.587038884825
809.965862220617 808.868353920525
804.305862408008 805.896905425537
813.904038761657 802.673264361959
826.660268771634 815.987687871969
799.382348485716 815.034472434137
816.770619366273 813.870920013469
803.819113566332 812.183852007885
778.362029860176 806.64738150227
782.077342214598 789.968267263036
788.63567821853 815.129851255499
797.805462675687 810.553041406786
791.270634199973 789.584855778516
812.964703679871 786.065229062359
788.947276014467 754.836594956838
782.491640460701 773.415626304656
804.142451145086 792.397242152872
799.670307413105 789.093076615461
815.246325994434 796.945479049353
799.43882024203 786.540894775407
807.672542429581 780.343846989312
806.937510675599 795.564004100822
784.138054570212 810.698333340767
799.672161950474 789.134318424419
804.2872630816 781.117625327858
784.362950673964 789.796999354112
801.364404783843 848
804.626944199439 836.064027898746
831.365977737437 833.340005783343
836.127123780703 814.41029198383
827.735190322632 801.577288362656
795.078856354592 804.048991423338
787.296228217881 794.303419996832
807.218222155397 813.077038875775
801.068190376376 778.333533510619
788.733621056459 753.436526712304
776.130207202711 789.425284942523
787.042487222066 782.542684940991
798.094918188243 759.886710844982
829.012634866427 763.824392989517
824.197922475787 796.010434166685
830.938539907918 797.980650185833
836.217177729199 795.901250424303
837.262187734822 778.252216512196
839.768939916583 785.171600342987
831.04656347178 778.357571850206
842.864415334343 776.709185445226
826.278640232734 784.802760214329
832.417139816921 787.843331595628
834.036197915612 785.999787948057
825.115401614943 756.764981329241
822.801523447204 770.465629823913
821.010318008036 781.65214456144
838.553401316298 760.773913949429
842.342921524133 803.68185157338
847.157072272811 790.134491021336
830.714825633985 792.91163515372
824.559661266441 789.494889113142
808.251049897148 779.733075205782
803.445230517655 771.261714000671
827.193497804966 789.451166736547
827.703970869671 789.366245797262
816.176218255031 794.695979611237
817.881202593629 773.847194993448
840.302081898134 786.267749224174
844.116994760519 785.468649388005
838.042521628634 805.123714202655
807.048306771548 823.648964951622
836.080399512654 829.834038299491
837.388735943054 823.019214230018
827.103632419727 795.275683238542
820.787182489311 806.371598685523
825.464977847256 784.473694173909
812.128332041332 797.791252568267
821.96961522243 794.905385646038
813.327972624829 775.526187433682
831.574438922193 778.064386845512
824.463523139113 766.145745063404
826.858297436239 772.243474163537
829.885246041561 753.604788412153
810.804083889683 815.553406631536
809.103702258069 828.311186964031
805.165983794326 797.105444501762
812.588492144528 802.219323257507
838.000543774698 802.571403554897
827.226935113016 803.377327652487
837.728676596725 796.71572669884
815.744469706668 770.130269021715
821.050607030554 769.482188199168
805.673765337609 792.16382401298
801.437992828672 805.945452466097
814.979820096117 793.765560040037
807.214898884327 806.428520282555
833.781156948676 775.922948440376
807.324306270839 792.238713537591
835.15413631519 805.068661323011
834.794114241584 781.453471444275
821.482432991687 788.555026791581
818.053426879195 821.94543401278
815.422603821674 800.539926836354
806.363156237741 795.714068397992
791.807807613775 769.515716308827
794.095821785358 762.449696553587
800.195093509549 777.731826733732
806.918265454178 753.624383978582
816.176136861443 770.147046126247
817.456349449984 783.43198816819
825.41245928885 774.884492620119
817.782589740546 799.254772170061
801.434369592627 778.187165328119
823.213384942839 783.398335095512
820.700127076532 795.638594981038
800.554791662701 811.317320974031
838.181239839149 794.700901487697
813.460620442111 800.140022179826
806.437337128007 810.176442547512
786.793517776896 814.69501197295
808.76582933985 794.663984582012
796.160296432682 793.478807753491
815.3842970158 792.86053799747
831.263103454427 791.571351846601
844.310383438194 773.589029605717
808.782649222657 783.426047965106
788.332896740745 789.929815834197
801.233538682507 797.873110766082
786.591942130714 823.021418677373
783.400934366019 793.897884928101
800.760238952127 788.730641558403
801.401801807022 780.282313571607
814.48212439657 783.645493557351
814.847547912418 766.632873885455
802.976628862242 757.156278763443
804.329479230818 761.102035678732
805.517313734298 795.612693516547
799.698961086537 792.767262998212
783.440752980911 782.650381568866
760.976670453047 809.929633487868
809.197308566703 788.814556093277
810.357846130651 802.90201595431
826.350081351673 792.889367456346
826.571279924041 783.554518158617
805.454204929465 766.860310264223
773.68537826519 752.296820677232
781.852402165956 784.311709131257
790.813241898712 788.513137873585
794.668859037096 782.435768599754
792.300037765444 794.100612030611
799.101604186516 790.719192212461
775.915290718993 766.424167228
799.121746220444 778.51077235391
803.002144267407 807.211777020239
819.780054692824 783.096885788954
809.032349864631 783.791465070555
815.298620152252 768.67532066259
796.197707000738 761.924039353161
805.173023437713 752
783.278947177294 757.258172455193
793.903403276238 784.026036340791
789.332192063007 792.303316065773
804.271109200316 776.229843434906
788.40780642591 798.697960875499
811.326945259573 794.323289143487
808.487005859523 816.621982193922
792.076790936038 816.369042725425
810.274928421702 812.874581845675
795.303815957577 798.120914081948
802.908603151375 789.004688000223
834.028858746785 802.750720161618
824.344446848642 812.167106486905
808.26142889256 802.57126100422
819.629555767602 807.923030650509
800.238453946211 800.812517950248
810.158151408432 823.460424355475
797.140441250089 797.445660660463
782.883704726091 803.633243307031
793.430441353143 821.427340093253
802.348293811297 811.962704597173
796.988712597226 804.858578878792
810.238361637106 798.236312621076
799.73364397059 786.918847827733
806.041667511073 790.389449436948
776.43285788822 782.762859342899
783.887267467771 792.38325430558
789.357191890201 803.296029637024
805.806368514581 776.970510670942
783.87269555435 808.228323161978
777.262195924106 801.397746524591
784.461698973922 778.042087336154
791.036170748554 798.112815332631
812.210083922801 793.338557885233
800.856167678711 785.295560222117
794.521732904672 788.977725915
797.37432204575 775.288319963467
792.783136209744 800.987103296813
783.737026402264 798.685525703397
786.865983299387 782.616982433862
794.710589333096 790.463463615096
797.943343124559 807.208148338779
782.448286744206 810.131005053014
758.435241173619 823.924295778546
770.22761879928 804.428360738192
753.631348395867 826.938511307237
783.071498671923 799.446938621107
798.774797382206 783.767206257232
768.294595596886 821.820032752736
783.111208121846 846.917693491781
752 803.737103872757
771.314446749083 775.267460282943
762.733894207693 801.568590962505
776.420262975454 786.891258556539
768.804741350815 783.748343453041
791.772103607259 786.528598929488
796.777794621341 793.584711681484
797.897045643368 763.962309248931
783.151495668337 785.428267508465
777.283277938622 798.260183359284
769.329702899328 783.719680939695
752.439250396452 776.597633748841
765.970700190498 792.360043563866
755.590301248601 771.442558032398
758.261888660127 796.705663134823
769.320911234571 804.58090476838
795.311361844989 824.720072723665
760.368899399106 807.160925796983
755.500619955989 801.40701140592
755.91986167498 798.916884080579
804.229630705845 789.057296307306
797.694048642667 791.01650054211
782.033810428396 792.576022937048
802.891397935705 793.91234497369
792.271242234778 814.538454661164
794.487505748425 826.775229292333
798.404658061355 818.987833533065
783.156600173966 820.400590239168
772.630422577451 797.248718035029
776.945016630026 803.541448151612
780.156421540095 817.994728406215
798.556175389719 806.116295376699
788.690031557949 808.229957542669
798.79909376722 823.24527857529
808.696512393656 827.075774094694
802.143455091503 810.142902115408
791.939247036773 792.261301551384
779.370275982208 791.753601591473
808.24519690169 793.4617105552
807.053467004129 807.275970920527
824.099800725869 813.617652196405
818.178251451564 805.413559181292
778.470342969504 779.38678157939
811.584193397454 764.103120429844
818.862478195861 772.897315016979
797.209842501065 801.150051378206
805.146932527866 786.785658490863
792.312878637247 781.684039066588
790.733998374738 788.362088630911
799.062733851308 805.468810358798
811.774538782736 803.214379809668
817.42404643737 793.349828313556
801.443519627462 787.207657834112
817.273494966038 807.452592934095
802.02840282932 821.207620388117
797.83020076917 791.881376044845
814.241774841958 802.505275784543
794.371250543599 812.58025319072
792.865093720842 800.079783033268
807.864445904133 809.676882658157
810.769698751349 810.172528187936
819.199039754591 789.417111668806
843.427619298928 770.492458066777
811.416792223822 799.762893603622
817.078386783869 793.134030520658
808.72587634947 815.29030802844
793.451795496677 817.271100244762
800.949383784225 800.604980847237
801.788960281656 813.941470454877
809.300583430435 795.062484952982
792.897720092527 759.067570908467
795.440420753637 778.583084300881
791.007257829635 802.640998186999
778.917235548254 803.816002705184
797.324400709422 807.433071988202
803.398621074673 818.728506486607
795.010988969615 797.610767820769
810.652613571765 804.380579258084
808.883425467539 814.931509717352
828.721878437192 789.097713267424
812.764630719808 781.911334002363
806.466355951052 779.984539967494
818.397597636987 782.407866806054
812.716084412477 790.324548042463
812.500728903259 806.174770253818
825.611838621382 766.318721545134
802.719444982058 766.268158035766
793.361473777987 794.15148068234
803.466198306292 777.143390588475
821.668735897176 774.196652837874
819.393169934528 795.704661016424
825.901268527392 769.90171099306
839.291679245548 801.251676440895
832.393752546481 803.8737448429
811.605566684455 796.203612031665
799.683137163466 814.350375072426
811.083801266761 828.048700277885
817.100804683528 819.833887721568
778.183712552185 814.112521639668
823.221792665395 815.400576463784
848 814.390593074924
822.153531215626 799.324696267592
819.420534615306 774.205906786866
821.71294893428 767.71975790575
802.592369161375 776.599791749572
814.142175437472 777.655182389185
797.293738722389 755.730716117141
803.199807823665 784.05906943483
814.787434412276 794.922140067201
795.025027991567 782.49762816817
797.345867063812 815.393555721198
789.802566077271 803.763553332375
754.663585701328 781.146419299538
764.890541507157 784.747405550766
773.857362228321 770.144238151743
789.261671360979 768.352278579542
759.385174270506 773.34879112419
765.683372335968 792.00197599602
772.824778553709 773.72578225505
774.250728748129 803.174729970364
755.138915293926 809.929146227105
767.488377676457 807.782103298987
792.882202827163 798.737681504206
